mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,seasons,date,won
240.0,240.0,43.0,80.0,0.538,16.0,30.0,0.533,19.0,21.0,0.905,6.0,35.0,41.0,34.0,5.0,9.0,17.0,25.0,121.0,,,0.678,0.638,0.375,0.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,100.0,118.0,119.0,,,8.0,18.0,1.0,6.0,9.0,0.857,4.0,5.0,1.0,1.0,10.0,11.0,13.0,2.0,4.0,8.0,4.0,23.0,18.3,11.0,1.218,1.222,0.778,1.0,13.1,38.6,22.7,57.1,6.1,9.1,31.7,32.6,250.0,127.0,GSW,121.0,1.0,0.0,240.0,240.0,47.0,97.0,0.485,15.0,41.0,0.366,13.0,19.0,0.684,10.0,33.0,43.0,28.0,9.0,5.0,13.0,16.0,122.0,,,0.579,0.562,0.423,0.196,22.2,84.6,51.2,59.6,8.8,10.0,11.0,100.0,119.0,118.0,,,10.0,23.0,0.667,4.0,9.0,0.667,6.0,8.0,0.75,3.0,7.0,8.0,11.0,2.0,2.0,3.0,4.0,27.0,21.6,20.0,0.859,0.889,0.667,0.667,9.6,26.1,13.8,42.9,2.8,6.5,18.2,31.2,152.0,126.0,HOU,122.0,0.0,2018.0,2017-10-17,False
240.0,240.0,42.0,97.0,0.433,6.0,22.0,0.273,30.0,38.0,0.789,16.0,36.0,52.0,21.0,8.0,10.0,10.0,20.0,120.0,,,0.528,0.464,0.227,0.392,30.2,76.6,52.0,50.0,7.6,17.2,8.1,100.0,114.6,109.8,,,10.0,28.0,1.0,3.0,6.0,0.5,12.0,16.0,1.0,5.0,12.0,17.0,8.0,3.0,3.0,2.0,4.0,28.0,20.2,19.0,1.0,1.0,1.0,0.941,13.4,35.6,23.7,45.2,4.2,7.2,66.7,35.8,150.0,120.0,WAS,120.0,1.0,0.0,240.0,240.0,43.0,93.0,0.462,15.0,35.0,0.429,14.0,19.0,0.737,11.0,37.0,48.0,25.0,6.0,6.0,17.0,28.0,115.0,,,0.567,0.543,0.376,0.204,23.4,69.8,48.0,58.1,5.7,8.0,14.4,100.0,109.8,114.6,,,9.0,15.0,0.6,7.0,11.0,0.636,4.0,6.0,1.0,3.0,12.0,13.0,5.0,2.0,2.0,5.0,6.0,29.0,21.5,17.0,0.865,0.833,0.8,0.429,11.4,40.3,23.2,24.3,2.7,4.4,23.0,31.2,148.0,125.0,PHI,115.0,0.0,2018.0,2017-10-18,True
240.0,240.0,39.0,83.0,0.47,13.0,29.0,0.448,26.0,28.0,0.929,13.0,36.0,49.0,26.0,10.0,4.0,17.0,19.0,117.0,,,0.614,0.548,0.349,0.337,31.0,78.3,55.7,66.7,10.0,7.0,15.1,100.0,117.2,100.1,,,9.0,17.0,0.667,6.0,9.0,0.667,7.0,8.0,1.0,8.0,7.0,15.0,9.0,2.0,2.0,5.0,4.0,23.0,22.8,26.0,0.854,0.833,0.75,0.889,30.0,29.8,26.8,41.9,9.7,7.0,60.0,28.9,185.0,110.0,TOR,117.0,1.0,0.0,240.0,240.0,37.0,89.0,0.416,10.0,32.0,0.313,16.0,18.0,0.889,10.0,29.0,39.0,22.0,7.0,2.0,19.0,23.0,100.0,,,0.516,0.472,0.36,0.202,21.7,69.0,44.3,59.5,7.0,3.7,16.4,100.0,100.1,117.2,,,7.0,16.0,1.0,4.0,12.0,0.571,5.0,6.0,1.0,4.0,6.0,8.0,7.0,2.0,1.0,4.0,4.0,18.0,14.5,4.0,1.0,1.0,1.0,3.0,17.5,35.5,16.9,60.2,8.1,2.7,60.0,37.0,200.0,127.0,CHI,100.0,0.0,2018.0,2017-10-19,True
240.0,240.0,40.0,75.0,0.533,6.0,17.0,0.353,29.0,35.0,0.829,7.0,30.0,37.0,25.0,12.0,7.0,17.0,18.0,115.0,,,0.636,0.573,0.227,0.467,23.3,75.0,52.9,62.5,12.0,10.9,15.8,100.0,115.3,111.3,,,11.0,19.0,0.75,2.0,4.0,0.667,9.0,11.0,1.0,2.0,7.0,9.0,10.0,4.0,3.0,8.0,5.0,28.0,27.6,15.0,0.82,0.75,0.667,0.917,24.5,24.3,17.8,50.1,6.7,6.5,50.0,33.4,172.0,119.0,WAS,115.0,1.0,0.0,240.0,240.0,43.0,87.0,0.494,10.0,23.0,0.435,15.0,20.0,0.75,10.0,23.0,33.0,19.0,12.0,1.0,19.0,32.0,111.0,,,0.579,0.552,0.264,0.23,25.0,76.7,47.1,44.2,12.0,1.7,16.6,100.0,111.3,115.3,,,8.0,21.0,1.0,3.0,7.0,1.0,4.0,5.0,1.0,6.0,6.0,12.0,5.0,5.0,1.0,5.0,6.0,21.0,12.2,9.0,1.05,1.167,0.667,1.333,27.3,38.8,31.2,35.2,7.6,2.6,100.0,43.6,215.0,122.0,DET,111.0,0.0,2018.0,2017-10-20,True
240.0,240.0,38.0,77.0,0.494,9.0,29.0,0.31,11.0,14.0,0.786,7.0,34.0,41.0,22.0,11.0,4.0,19.0,21.0,96.0,,,0.577,0.552,0.377,0.182,18.9,81.0,51.9,57.9,11.8,8.9,18.6,100.0,102.7,93.1,,,8.0,14.0,1.0,5.0,9.0,0.556,5.0,6.0,1.0,3.0,10.0,13.0,6.0,3.0,1.0,6.0,4.0,19.0,16.4,13.0,1.0,1.0,0.75,1.0,16.7,100.0,82.9,36.7,5.6,6.9,50.0,29.2,145.0,100.0,UTA,96.0,1.0,0.0,240.0,240.0,32.0,78.0,0.41,11.0,33.0,0.333,12.0,19.0,0.632,8.0,30.0,38.0,15.0,14.0,4.0,17.0,16.0,87.0,,,0.504,0.481,0.423,0.244,19.0,81.1,48.1,46.9,15.0,8.3,16.4,100.0,93.1,102.7,,,12.0,26.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,3.0,11.0,13.0,9.0,5.0,2.0,7.0,3.0,26.0,14.4,6.0,1.5,1.5,1.0,4.0,11.8,39.6,21.9,40.9,33.7,15.4,35.4,34.3,300.0,114.0,OKC,87.0,0.0,2018.0,2017-10-21,True
240.0,240.0,46.0,96.0,0.479,11.0,31.0,0.355,10.0,16.0,0.625,9.0,27.0,36.0,26.0,9.0,6.0,11.0,22.0,113.0,,,0.548,0.536,0.323,0.167,20.5,73.0,44.4,56.5,8.9,9.8,9.6,100.0,111.2,113.2,,,12.0,24.0,1.0,5.0,8.0,1.0,3.0,5.0,1.0,8.0,6.0,13.0,10.0,4.0,2.0,2.0,4.0,31.0,25.4,23.0,1.0,1.0,1.0,1.0,25.0,36.6,22.1,43.5,5.1,11.1,17.0,32.0,200.0,123.0,OKC,113.0,1.0,0.0,240.0,240.0,43.0,86.0,0.5,10.0,25.0,0.4,19.0,23.0,0.826,10.0,35.0,45.0,25.0,5.0,1.0,18.0,17.0,115.0,,,0.598,0.558,0.291,0.267,27.0,79.5,55.6,58.1,4.9,1.5,15.8,100.0,113.2,111.2,,,11.0,20.0,1.0,2.0,7.0,1.0,8.0,8.0,1.0,4.0,8.0,12.0,9.0,2.0,1.0,4.0,5.0,27.0,21.3,21.0,1.5,1.5,1.0,0.8,20.9,26.3,20.0,29.9,5.4,2.1,53.2,26.9,138.0,118.0,MIN,115.0,0.0,2018.0,2017-10-22,False
240.0,240.0,40.0,90.0,0.444,5.0,20.0,0.25,16.0,23.0,0.696,18.0,37.0,55.0,19.0,4.0,12.0,20.0,22.0,101.0,,,0.504,0.472,0.222,0.256,38.3,88.1,61.8,47.5,4.1,27.9,16.7,100.0,102.3,98.3,,,7.0,16.0,1.0,3.0,8.0,0.5,6.0,7.0,1.0,4.0,11.0,14.0,6.0,1.0,5.0,4.0,4.0,20.0,15.4,15.0,1.0,1.0,0.533,0.5,25.0,44.8,26.9,34.5,3.0,16.5,36.8,28.0,213.0,108.0,SAS,101.0,1.0,0.0,240.0,240.0,34.0,80.0,0.425,10.0,37.0,0.27,19.0,24.0,0.792,5.0,29.0,34.0,17.0,11.0,4.0,15.0,30.0,97.0,,,0.536,0.488,0.463,0.3,11.9,61.7,38.2,50.0,11.1,5.7,14.2,100.0,98.3,102.3,,,10.0,20.0,0.8,3.0,8.0,0.5,6.0,9.0,1.0,4.0,8.0,12.0,4.0,3.0,3.0,4.0,6.0,28.0,18.0,13.0,0.791,0.8,0.778,0.6,17.8,31.7,25.1,28.9,6.6,8.0,38.1,35.6,131.0,111.0,TOR,97.0,0.0,2018.0,2017-10-23,True
240.0,240.0,33.0,88.0,0.375,10.0,29.0,0.345,27.0,33.0,0.818,18.0,45.0,63.0,17.0,7.0,7.0,18.0,22.0,103.0,,,0.502,0.432,0.33,0.375,32.1,91.8,60.0,51.5,6.9,15.2,14.9,100.0,101.9,92.0,,,7.0,16.0,1.0,4.0,8.0,1.0,6.0,9.0,1.0,6.0,6.0,10.0,7.0,1.0,2.0,6.0,4.0,23.0,15.7,17.0,1.25,1.25,0.625,1.143,27.0,29.2,23.0,33.6,13.6,9.0,26.9,29.3,245.0,98.0,POR,103.0,1.0,0.0,240.0,240.0,30.0,76.0,0.395,9.0,30.0,0.3,24.0,32.0,0.75,4.0,38.0,42.0,17.0,5.0,7.0,17.0,26.0,93.0,,,0.516,0.454,0.395,0.421,8.2,67.9,40.0,56.7,4.9,11.9,15.9,100.0,92.0,101.9,,,12.0,23.0,0.6,3.0,10.0,0.667,12.0,17.0,1.0,2.0,11.0,13.0,7.0,2.0,3.0,8.0,4.0,39.0,26.0,6.0,0.8,0.8,0.667,1.5,6.5,26.7,15.3,41.5,3.4,16.2,25.4,44.3,126.0,112.0,NOP,93.0,0.0,2018.0,2017-10-24,True
240.0,240.0,42.0,96.0,0.438,6.0,19.0,0.316,7.0,9.0,0.778,16.0,39.0,55.0,18.0,8.0,5.0,16.0,25.0,97.0,,,0.485,0.469,0.198,0.094,30.2,84.8,55.6,42.9,8.0,9.6,13.8,100.0,96.6,87.6,,,12.0,19.0,0.667,2.0,4.0,0.5,3.0,4.0,1.0,8.0,6.0,12.0,5.0,2.0,2.0,4.0,5.0,27.0,19.9,10.0,0.833,0.833,1.0,0.211,24.5,30.6,22.2,30.0,3.7,8.7,40.0,32.5,130.0,93.0,PHO,97.0,1.0,0.0,240.0,240.0,32.0,77.0,0.416,6.0,25.0,0.24,18.0,25.0,0.72,7.0,37.0,44.0,20.0,8.0,10.0,23.0,19.0,88.0,,,0.5,0.455,0.325,0.325,15.2,69.8,44.4,62.5,8.0,13.0,20.7,100.0,87.6,96.6,,,7.0,16.0,0.778,2.0,7.0,0.5,6.0,8.0,1.0,2.0,13.0,14.0,11.0,4.0,5.0,6.0,3.0,22.0,14.9,3.0,0.694,0.778,1.0,1.0,12.1,32.5,18.7,65.6,5.6,8.6,51.0,33.9,219.0,107.0,UTA,88.0,0.0,2018.0,2017-10-25,True
240.0,240.0,38.0,81.0,0.469,7.0,20.0,0.35,23.0,25.0,0.92,5.0,29.0,34.0,25.0,7.0,5.0,13.0,17.0,106.0,,,0.576,0.512,0.247,0.309,11.9,74.4,42.0,65.8,7.1,9.3,12.4,100.0,107.8,115.9,,,5.0,13.0,0.75,1.0,6.0,1.0,5.0,5.0,1.0,3.0,8.0,9.0,5.0,3.0,2.0,3.0,3.0,14.0,13.4,5.0,0.875,0.875,0.75,0.625,18.7,33.9,25.9,31.7,5.4,11.5,22.7,28.1,165.0,123.0,SAC,106.0,1.0,0.0,240.0,240.0,42.0,86.0,0.488,13.0,32.0,0.406,17.0,23.0,0.739,10.0,37.0,47.0,22.0,5.0,3.0,15.0,24.0,114.0,,,0.593,0.564,0.372,0.267,25.6,88.1,58.0,52.4,5.1,4.9,13.5,100.0,115.9,107.8,,,14.0,25.0,0.667,4.0,8.0,0.6,10.0,12.0,0.833,8.0,15.0,23.0,7.0,2.0,1.0,4.0,5.0,41.0,38.3,18.0,0.692,0.692,1.0,0.8,22.5,39.2,31.1,24.9,8.1,2.2,25.0,33.8,137.0,114.0,NOP,114.0,0.0,2018.0,2017-10-26,False
